     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
*** 
4223500 2680500  1 10 20  -7.0  975 229  1.0 1  2.3  96    0    0 196 -301  2
4223500 2680500  1 10 21  -7.1  975 181  0.9 1  2.2  97    0    0 191 -301  2
4223500 2680500  1 10 22  -7.4  975 189  1.3 0  2.2  97    0    0 187 -302  2
4223500 2680500  1 10 23  -7.6  975 178  1.3 0  2.2  97    0    0 183 -302  2
4223500 2680500  1 10 24  -8.7  974 222  2.3 0  2.0  95    0    0 180 -302  2
4223500 2680500  1 11  1  -9.0  973 199  0.9 1  1.9  95    0    0 181 -302  2
4223500 2680500  1 11  2  -9.9  973 229  1.7 1  1.8  94    0    0 183 -303  2
4223500 2680500  1 11  3  -8.8  973 212  1.8 0  1.8  92    0    0 178 -304  2
4223500 2680500  1 11  4  -9.6  973 217  1.0 0  1.8  92    0    0 172 -305  2
4223500 2680500  1 11  5  -9.6  973 203  1.7 0  1.7  92    0    0 169 -306  2
4223500 2680500  1 11  6  -8.9  973 238  2.1 0  1.8  90    0    0 169 -307  2
4223500 2680500  1 11  7  -7.0  973 238  2.8 0  1.9  90    0    0 171 -309  2
4223500 2680500  1 11  8  -6.4  973 231  3.0 2  2.1  89    0    0 184 -310  2
4223500 2680500  1 11  9  -5.7  973 230  3.5 4  2.2  89    0    9 204 -311  2
4223500 2680500  1 11 10  -4.0  973 223  3.5 6  2.5  90   43   21 225 -313  2
4223500 2680500  1 11 11  -3.1  974 241  4.2 6  2.7  89  122   25 237 -316  2
4223500 2680500  1 11 12  -1.4  974 235  4.1 6  2.9  86  137   29 241 -319  2
4223500 2680500  1 11 13  -0.4  974 223  3.9 7  3.1  84   63   82 249 -321  2
4223500 2680500  1 11 14   0.1  973 234  3.9 7  3.3  84  100   49 256 -321  2
4223500 2680500  1 11 15   0.3  973 232  3.8 7  3.4  84  105   23 258 -321  2
4223500 2680500  1 11 16  -1.5  973 241  2.3 5  3.3  87   47   11 246 -321  2
4223500 2680500  1 11 17  -0.2  972 223  4.4 5  3.2  87    0    2 236 -320  2
4223500 2680500  1 11 18  -0.7  972 211  4.5 6  3.2  84    0    0 244 -319  2
4223500 2680500  1 11 19  -1.8  972 220  4.6 5  3.0  84    0    0 244 -319  2
4223500 2680500  1 11 20  -1.9  972 216  4.5 4  2.9  85    0    0 234 -319  2
4223500 2680500  1 11 21  -0.2  972 216  4.9 3  2.9  79    0    0 227 -318  2
4223500 2680500  1 11 22   0.0  972 211  5.3 3  2.9  74    0    0 226 -318  2
4223500 2680500  1 11 23  -0.2  972 229  4.0 3  3.0  76    0    0 228 -317  2
4223500 2680500  1 11 24  -1.3  972 235  3.9 4  3.0  80    0    0 233 -316  2
4223500 2680500  1 12  1  -1.8  972 249  5.0 8  3.1  87    0    0 258 -317  2
4223500 2680500  1 12  2  -1.7  973 247  4.6 8  3.2  93    0    0 279 -319  2
4223500 2680500  1 12  3  -1.6  972 251  4.2 8  3.3  95    0    0 281 -321  2
4223500 2680500  1 12  4  -1.7  972 232  4.0 8  3.3  95    0    0 282 -322  2
4223500 2680500  1 12  5  -1.7  972 259  4.4 8  3.3  94    0    0 282 -321  2
4223500 2680500  1 12  6  -1.9  972 246  3.2 8  3.2  92    0    0 283 -321  2
4223500 2680500  1 12  7  -2.4  972 252  3.4 8  3.1  93    0    0 283 -320  2
4223500 2680500  1 12  8  -2.7  972 258  3.0 7  3.0  93    0    0 279 -319  2
4223500 2680500  1 12  9  -2.9  973 235  3.0 6  2.9  91    3   13 270 -319  2
4223500 2680500  1 12 10  -2.7  973 242  3.6 5  2.9  89   37   59 261 -319  2
4223500 2680500  1 12 11  -1.9  973 243  3.9 6  2.9  86   41  107 264 -319  2
4223500 2680500  1 12 12  -1.3  973 233  4.5 7  3.0  85   11  119 275 -321  2
4223500 2680500  1 12 13  -1.1  973 248  5.1 7  3.1  85    0   94 281 -322  2
4223500 2680500  1 12 14  -1.0  972 236  4.5 8  3.1  86    0   44 287 -322  2
